local code,text,table_name,parent_varname,local code system,code,display,code system,comment
OMIM:602579,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ib; CDG1B",subject,disease_id,disease_id,OMIM:602579,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ib; CDG1B",https://omim.org/,
OMIM:604592,T CELL IMMUNE REGULATOR 1; TCIRG1,subject,disease_id,disease_id,OMIM:604592,T CELL IMMUNE REGULATOR 1; TCIRG1,https://omim.org/,
OMIM:608540,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ik; CDG1K",subject,disease_id,disease_id,OMIM:608540,"CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Ik; CDG1K",https://omim.org/,
OMIM:608600,"LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 1; FPLD1",subject,disease_id,disease_id,OMIM:608600,"LIPODYSTROPHY, FAMILIAL PARTIAL, TYPE 1; FPLD1",https://omim.org/,
OMIM:613065,"LEUKEMIA, ACUTE LYMPHOBLASTIC; ALL",subject,disease_id,disease_id,OMIM:613065,"LEUKEMIA, ACUTE LYMPHOBLASTIC; ALL",https://omim.org/,
OMIM:614034,HEME OXYGENASE 1 DEFICIENCY; HMOX1D,subject,disease_id,disease_id,OMIM:614034,HEME OXYGENASE 1 DEFICIENCY; HMOX1D,https://omim.org/,
OMIM:615065,"ARTHROGRYPOSIS, DISTAL, TYPE 5D; DA5D",subject,disease_id,disease_id,OMIM:615065,"ARTHROGRYPOSIS, DISTAL, TYPE 5D; DA5D",https://omim.org/,
OMIM:616266,"CONGENITAL CONTRACTURES OF THE LIMBS AND FACE, HYPOTONIA, AND DEVELOPMENTAL DELAY; CLIFAHDD",subject,disease_id,disease_id,OMIM:616266,"CONGENITAL CONTRACTURES OF THE LIMBS AND FACE, HYPOTONIA, AND DEVELOPMENTAL DELAY; CLIFAHDD",https://omim.org/,
OMIM:616421,MYOCLONIC-ATONIC EPILEPSY; MAE,subject,disease_id,disease_id,OMIM:616421,MYOCLONIC-ATONIC EPILEPSY; MAE,https://omim.org/,
HP:0001627,Abnormal heart morphology,condition,condition_code,condition_code,HP:0001627,Abnormal heart morphology,https://uberon.github.io/,
HP:0000707,Abnormality of the nervous system,subject,hpo_present,subject,HP:0000707,Abnormality of the nervous system,https://uberon.github.io/,
HP:0012638,Abnormal nervous system physiology,subject,hpo_present,subject,HP:0012638,Abnormal nervous system physiology,https://uberon.github.io/,
HP:0200134,Epileptic encephalopathy,subject,hpo_present,subject,HP:0200134,Epileptic encephalopathy,https://uberon.github.io/,
HP:0000657,Oculomotor apraxia,subject,hpo_present,subject,HP:0000657,Oculomotor apraxia,https://uberon.github.io/,
HP:0001272,Cerebellar atrophy,subject,hpo_present,subject,HP:0001272,Cerebellar atrophy,https://uberon.github.io/,
HP:0001305,Dandy-Walker malformation,subject,hpo_present,subject,HP:0001305,Dandy-Walker malformation,https://uberon.github.io/,
HP:0001320,Cerebellar vermis hypoplasia,subject,hpo_present,subject,HP:0001320,Cerebellar vermis hypoplasia,https://uberon.github.io/,
HP:0001321,Cerebellar hypoplasia,subject,hpo_present,subject,HP:0001321,Cerebellar hypoplasia,https://uberon.github.io/,
HP:0002119,Ventriculomegaly,subject,hpo_present,subject,HP:0002119,Ventriculomegaly,https://uberon.github.io/,
HP:0002438,Cerebellar malformation,subject,hpo_present,subject,HP:0002438,Cerebellar malformation,https://uberon.github.io/,
HP:0007033,Cerebellar dysplasia,subject,hpo_present,subject,HP:0007033,Cerebellar dysplasia,https://uberon.github.io/,
HP:0007068,Inferior vermis hypoplasia,subject,hpo_present,subject,HP:0007068,Inferior vermis hypoplasia,https://uberon.github.io/,
HP:0011932,Abnormal superior cerebellar peduncle morphology,subject,hpo_present,subject,HP:0011932,Abnormal superior cerebellar peduncle morphology,https://uberon.github.io/,
HP:0012110,Hypoplasia of the pons,subject,hpo_present,subject,HP:0012110,Hypoplasia of the pons,https://uberon.github.io/,
HP:0012443,Abnormality of brain morphology,subject,hpo_present,subject,HP:0012443,Abnormality of brain morphology,https://uberon.github.io/,
HP:0020185,Superior cerebellar dysplasia,subject,hpo_present,subject,HP:0020185,Superior cerebellar dysplasia,https://uberon.github.io/,
HP:0025102,Dysgenesis of the basal ganglia,subject,hpo_present,subject,HP:0025102,Dysgenesis of the basal ganglia,https://uberon.github.io/,
HP:0002011,Morphological central nervous system abnormality,subject,hpo_present,subject,HP:0002011,Morphological central nervous system abnormality,https://uberon.github.io/,
HP:0002180,Neurodegeneration,subject,hpo_present,subject,HP:0002180,Neurodegeneration,https://uberon.github.io/,
HP:0001626,Abnormality of the cardiovascular system,subject,hpo_present,subject,HP:0001626,Abnormality of the cardiovascular system,https://uberon.github.io/,
HP:0001627,Abnormal heart morphology,subject,hpo_present,subject,HP:0001627,Abnormal heart morphology,https://uberon.github.io/,
HP:0001647,Bicuspid aortic valve,subject,hpo_present,subject,HP:0001647,Bicuspid aortic valve,https://uberon.github.io/,
HP:0000002,Abnormality of body height,subject,hpo_present,subject,HP:0000002,Abnormality of body height,https://uberon.github.io/,
HP:0000152,Abnormality of head or neck,subject,hpo_present,subject,HP:0000152,Abnormality of head or neck,https://uberon.github.io/,
HP:0000153,Abnormality of the mouth,subject,hpo_present,subject,HP:0000153,Abnormality of the mouth,https://uberon.github.io/,
HP:0000271,Abnormality of the face,subject,hpo_present,subject,HP:0000271,Abnormality of the face,https://uberon.github.io/,
HP:0000478,Abnormality of the eye,subject,hpo_present,subject,HP:0000478,Abnormality of the eye,https://uberon.github.io/,
HP:0000528,Anophthalmia,subject,hpo_present,subject,HP:0000528,Anophthalmia,https://uberon.github.io/,
HP:0000707,Abnormality of the nervous system,subject,hpo_present,subject,HP:0000707,Abnormality of the nervous system,https://uberon.github.io/,
HP:0000775,Abnormality of the diaphragm,subject,hpo_present,subject,HP:0000775,Abnormality of the diaphragm,https://uberon.github.io/,
HP:0000776,Congenital diaphragmatic hernia,subject,hpo_present,subject,HP:0000776,Congenital diaphragmatic hernia,https://uberon.github.io/,
HP:0000924,Abnormality of the skeletal system,subject,hpo_present,subject,HP:0000924,Abnormality of the skeletal system,https://uberon.github.io/,
HP:0000925,Abnormality of the vertebral column,subject,hpo_present,subject,HP:0000925,Abnormality of the vertebral column,https://uberon.github.io/,
HP:0000951,Abnormality of the skin,subject,hpo_present,subject,HP:0000951,Abnormality of the skin,https://uberon.github.io/,
HP:0000992,Cutaneous photosensitivity,subject,hpo_present,subject,HP:0000992,Cutaneous photosensitivity,https://uberon.github.io/,
HP:0001159,Syndactyly,subject,hpo_present,subject,HP:0001159,Syndactyly,https://uberon.github.io/,
HP:0001161,Hand polydactyly,subject,hpo_present,subject,HP:0001161,Hand polydactyly,https://uberon.github.io/,
HP:0001263,Global developmental delay,subject,hpo_present,subject,HP:0001263,Global developmental delay,https://uberon.github.io/,
HP:0001274,Agenesis of corpus callosum,subject,hpo_present,subject,HP:0001274,Agenesis of corpus callosum,https://uberon.github.io/,
HP:0001367,Abnormal joint morphology,subject,hpo_present,subject,HP:0001367,Abnormal joint morphology,https://uberon.github.io/,
HP:0001382,Joint hypermobility,subject,hpo_present,subject,HP:0001382,Joint hypermobility,https://uberon.github.io/,
HP:0001438,Abnormal abdomen morphology,subject,hpo_present,subject,HP:0001438,Abnormal abdomen morphology,https://uberon.github.io/,
HP:0001507,Growth abnormality,subject,hpo_present,subject,HP:0001507,Growth abnormality,https://uberon.github.io/,
HP:0001574,Abnormality of the integument,subject,hpo_present,subject,HP:0001574,Abnormality of the integument,https://uberon.github.io/,
HP:0001595,Abnormal hair morphology,subject,hpo_present,subject,HP:0001595,Abnormal hair morphology,https://uberon.github.io/,
HP:0001626,Abnormality of the cardiovascular system,subject,hpo_present,subject,HP:0001626,Abnormality of the cardiovascular system,https://uberon.github.io/,
HP:0001627,Abnormal heart morphology,subject,hpo_present,subject,HP:0001627,Abnormal heart morphology,https://uberon.github.io/,
HP:0002086,Abnormality of the respiratory system,subject,hpo_present,subject,HP:0002086,Abnormality of the respiratory system,https://uberon.github.io/,
HP:0002088,Abnormal lung morphology,subject,hpo_present,subject,HP:0002088,Abnormal lung morphology,https://uberon.github.io/,
HP:0002650,Scoliosis,subject,hpo_present,subject,HP:0002650,Scoliosis,https://uberon.github.io/,
HP:0002652,Skeletal dysplasia,subject,hpo_present,subject,HP:0002652,Skeletal dysplasia,https://uberon.github.io/,
HP:0002795,Abnormal respiratory system physiology,subject,hpo_present,subject,HP:0002795,Abnormal respiratory system physiology,https://uberon.github.io/,
HP:0002803,Congenital contracture,subject,hpo_present,subject,HP:0002803,Congenital contracture,https://uberon.github.io/,
HP:0003011,Abnormality of the musculature,subject,hpo_present,subject,HP:0003011,Abnormality of the musculature,https://uberon.github.io/,
HP:0003202,Skeletal muscle atrophy,subject,hpo_present,subject,HP:0003202,Skeletal muscle atrophy,https://uberon.github.io/,
HP:0003330,Abnormal bone structure,subject,hpo_present,subject,HP:0003330,Abnormal bone structure,https://uberon.github.io/,
HP:0003549,Abnormality of connective tissue,subject,hpo_present,subject,HP:0003549,Abnormality of connective tissue,https://uberon.github.io/,
HP:0003560,Muscular dystrophy,subject,hpo_present,subject,HP:0003560,Muscular dystrophy,https://uberon.github.io/,
HP:0004322,Short stature,subject,hpo_present,subject,HP:0004322,Short stature,https://uberon.github.io/,
HP:0005684,Distal arthrogryposis,subject,hpo_present,subject,HP:0005684,Distal arthrogryposis,https://uberon.github.io/,
HP:0009830,Peripheral neuropathy,subject,hpo_present,subject,HP:0009830,Peripheral neuropathy,https://uberon.github.io/,
HP:0010628,Facial palsy,subject,hpo_present,subject,HP:0010628,Facial palsy,https://uberon.github.io/,
HP:0010719,Abnormality of hair texture,subject,hpo_present,subject,HP:0010719,Abnormality of hair texture,https://uberon.github.io/,
HP:0011024,Abnormality of the gastrointestinal tract,subject,hpo_present,subject,HP:0011024,Abnormality of the gastrointestinal tract,https://uberon.github.io/,
HP:0011121,Abnormality of skin morphology,subject,hpo_present,subject,HP:0011121,Abnormality of skin morphology,https://uberon.github.io/,
HP:0011297,Abnormal digit morphology,subject,hpo_present,subject,HP:0011297,Abnormal digit morphology,https://uberon.github.io/,
HP:0011805,Abnormal skeletal muscle morphology,subject,hpo_present,subject,HP:0011805,Abnormal skeletal muscle morphology,https://uberon.github.io/,
HP:0012265,Ciliary dyskinesia,subject,hpo_present,subject,HP:0012265,Ciliary dyskinesia,https://uberon.github.io/,
HP:0012372,Abnormal eye morphology,subject,hpo_present,subject,HP:0012372,Abnormal eye morphology,https://uberon.github.io/,
HP:0012443,Abnormality of brain morphology,subject,hpo_present,subject,HP:0012443,Abnormality of brain morphology,https://uberon.github.io/,
HP:0012639,Abnormal nervous system morphology,subject,hpo_present,subject,HP:0012639,Abnormal nervous system morphology,https://uberon.github.io/,
HP:0012759,Neurodevelopmental abnormality,subject,hpo_present,subject,HP:0012759,Neurodevelopmental abnormality,https://uberon.github.io/,
HP:0030056,Uncombable hair,subject,hpo_present,subject,HP:0030056,Uncombable hair,https://uberon.github.io/,
HP:0033127,Abnormality of the musculoskeletal system,subject,hpo_present,subject,HP:0033127,Abnormality of the musculoskeletal system,https://uberon.github.io/,
HP:0040064,Abnormality of limbs,subject,hpo_present,subject,HP:0040064,Abnormality of limbs,https://uberon.github.io/,
HP:0000002,Abnormality of body height,subject,hpo_present,subject,HP:0000002,Abnormality of body height,https://uberon.github.io/,
HP:0000152,Abnormality of head or neck,subject,hpo_present,subject,HP:0000152,Abnormality of head or neck,https://uberon.github.io/,
HP:0000153,Abnormality of the mouth,subject,hpo_present,subject,HP:0000153,Abnormality of the mouth,https://uberon.github.io/,
HP:0000164,Abnormality of the dentition,subject,hpo_present,subject,HP:0000164,Abnormality of the dentition,https://uberon.github.io/,
HP:0000202,Oral cleft,subject,hpo_present,subject,HP:0000202,Oral cleft,https://uberon.github.io/,
HP:0000271,Abnormality of the face,subject,hpo_present,subject,HP:0000271,Abnormality of the face,https://uberon.github.io/,
HP:0000478,Abnormality of the eye,subject,hpo_present,subject,HP:0000478,Abnormality of the eye,https://uberon.github.io/,
HP:0000501,Glaucoma,subject,hpo_present,subject,HP:0000501,Glaucoma,https://uberon.github.io/,
HP:0000707,Abnormality of the nervous system,subject,hpo_present,subject,HP:0000707,Abnormality of the nervous system,https://uberon.github.io/,
HP:0000708,Behavioral abnormality,subject,hpo_present,subject,HP:0000708,Behavioral abnormality,https://uberon.github.io/,
HP:0000717,Autism,subject,hpo_present,subject,HP:0000717,Autism,https://uberon.github.io/,
HP:0000775,Abnormality of the diaphragm,subject,hpo_present,subject,HP:0000775,Abnormality of the diaphragm,https://uberon.github.io/,
HP:0000776,Congenital diaphragmatic hernia,subject,hpo_present,subject,HP:0000776,Congenital diaphragmatic hernia,https://uberon.github.io/,
HP:0000924,Abnormality of the skeletal system,subject,hpo_present,subject,HP:0000924,Abnormality of the skeletal system,https://uberon.github.io/,
HP:0000925,Abnormality of the vertebral column,subject,hpo_present,subject,HP:0000925,Abnormality of the vertebral column,https://uberon.github.io/,
HP:0001059,Pterygium,subject,hpo_present,subject,HP:0001059,Pterygium,https://uberon.github.io/,
HP:0001249,Intellectual disability,subject,hpo_present,subject,HP:0001249,Intellectual disability,https://uberon.github.io/,
HP:0001250,Seizure,subject,hpo_present,subject,HP:0001250,Seizure,https://uberon.github.io/,
